trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.5, 'e': 2.061153622438558e-09}",25,-5,-11.0194338440066,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 1.2501528663867426e-09}",30,15,-37.32165239329102,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
43,False,"{'a': 0.5, 'e': 7.582560427911907e-10}",20,3,25.861302126514527,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 4.5990553786523166e-10}",20,8,15.54919891744791,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 2.7894680928689246e-10}",35,12,-4.839251100353798,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 1.6918979226151304e-10}",25,6,29.2217136495011,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 1.026187963170189e-10}",25,-12,65.08600592079235,"{0: 37, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 6.224144622907783e-11}",30,-32,22.087066475312454,"{0: 59, 1: 0, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 3.775134544279098e-11}",20,-46,-26.639311775451198,"{0: 61, 1: 1, 2: 1, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 2.289734845645553e-11}",30,8,-2.859683047493971,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 1.3887943864964021e-11}",25,17,13.917311572497836,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 8.423463754468647e-12}",20,13,-11.000064113387808,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 5.109089028063325e-12}",20,-1,18.099036167338063,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 3.0988191387218256e-12}",35,18,5.7559551432697456,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 1.8795288165390832e-12}",30,-7,24.883855283458978,"{0: 36, 1: 0, 2: 0, 3: 0, 4: 1}",0
